날짜,orchestra,orchestration
2026-08-14,0.0,0.0
2026-08-18,-0.0074663290529350945,-8.362865875388703e-05
2026-08-19,-0.006717782893587598,-0.0023574781396685
2026-08-20,-0.013079290681618616,0.0002688867637958
2026-08-21,-0.010469632125533201,-0.0039157088122604
2026-08-24,-0.017303704829037647,0.000858825073597
2026-08-25,-0.004681464527138912,0.0043947297694273
2026-08-26,0.0029863349626995106,0.0087206940303639
2026-08-27,0.0014670403104453111,0.0040585903133261
2026-08-28,0.007108978847742087,0.0098788449494666
2026-08-31,0.0029508309226748963,0.0056249088397617
2026-09-01,0.0029348208761461603,0.0142122845374486
2026-09-02,-0.008798563382986346,0.0072886566287275
2026-09-03,-0.007658588306605818,0.0085129101898209
2026-09-04,-0.0028028020029209344,0.0119365599744989
2026-09-07,-0.0008875388494028469,0.0141020672154406
2026-09-08,-3.7783304340677226e-05,0.0109306784671827
2026-09-09,-0.004218850919717632,0.0123177391510878
2026-09-10,-0.004839911080660175,0.0014328879388474
